프롬프트로 유사도 평가를 요청하고 점수를 비교하는 식으로 검증

항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
hv35,[중환자실] 음압격리,20,1,0,[중환자실] 음압격리
hv36,[응급전용] 입원실,20,1,0,[응급전용] 입원실
hv37,[응급전용] 소아입원실,20,1,0,[응급전용] 소아입원실
hv38,[입원실] 외상전용,20,1,0,[입원실] 외상전용
hv39,[기타] 외상전용 수술실,20,1,0,[기타] 외상전용 수술실
hv40,[입원실] 정신과 폐쇄병동,20,1,0,[입원실] 정신과 폐쇄병동
hv41,[입원실] 음압격리,20,1,0,[입원실] 음압격리
hv42,[기타] 분만실,20,1,0,[기타] 분만실
hv43,[기타] 화상전용처치실,20,1,0,[기타] 화상전용처치실
hv60,외상소생실,20,1,0,외상소생실
hv61,외상환자진료구역,20,1,0,외상환자진료구역
dutyname,기관명,100,0,국립중앙의료원,기관명
dutyTel3,응급실전화,14,1,02-XXX-XXXX,응급실전화
HVS01,일반_기준,20,1,0,일반_기준
HVS02,소아_기준,20,1,0,소아_기준
HVS03,응급실 음압 격리 병상_기준,20,1,0,응급실 음압 격리 병상_기준
HVS04,응급실 일반 격리 병상_기준,20,1,0,응급실 일반 격리 병상_기준
HVS05,[응급전용] 중환자실_기준,20,1,0,[응급전용] 중환자실_기준
HVS06,[중환자실] 내과_기준,20,1,0,[중환자실] 내과_기준
HVS07,[중환자실] 외과_기준,20,1,0,[중환자실] 외과_기준
HVS08,[중환자실] 신생아_기준,20,1,0,[중환자실] 신생아_기준
HVS09,[중환자실] 소아_기준,20,1,0,[중환자실] 소아_기준
HVS10,[응급전용] 소아중환자실_기준,20,1,0,[응급전용] 소아중환자실_기준
HVS11,[중환자실] 신경과_기준,20,1,0,[중환자실] 신경과_기준
HVS12,[중환자실] 신경외과_기준,20,1,0,[중환자실] 신경외과_기준
HVS13,[중환자실] 화상_기준,20,1,0,[중환자실] 화상_기준
HVS14,[중환자실] 외상_기준,20,1,0,[중환자실] 외상_기준
HVS15,[중환자실] 심장내과_기준,20,1,0,[중환자실] 심장내과_기준
HVS16,[중환자실] 흉부외과_기준,20,1,0,[중환자실] 흉부외과_기준
HVS17,[중환자실] 일반_기준,20,1,0,[중환자실] 일반_기준
HVS18,[중환자실] 음압격리_기준,20,1,0,[중환자실] 음압격리_기준
HVS19,[응급전용] 입원실_기준,20,1,0,[응급전용] 입원실_기준
HVS20,[응급전용] 소아입원실_기준,20,1,0,[응급전용] 소아입원실_기준
HVS21,[입원실] 외상전용_기준,20,1,0,[입원실] 외상전용_기준
HVS22,[기타] 수술실_기준,20,1,0,[기타] 수술실_기준
HVS23,[기타] 외상전용 수술실_기준,20,1,0,[기타] 외상전용 수술실_기준
HVS24,[입원실] 정신과 폐쇄병동_기준,20,1,0,[입원실] 정신과 폐쇄병동_기준
HVS25,[입원실] 음압격리_기준,20,1,0,[입원실] 음압격리_기준
HVS26,[기타] 분만실_기준,20,1,0,[기타] 분만실_기준
HVS27,CT_기준,20,1,0,CT_기준
HVS28,MRI_기준,20,1,0,MRI_기준
HVS29,혈관촬영기_기준,20,1,0,혈관촬영기_기준
HVS30,인공호흡기 일반_기준,20,1,0,인공호흡기 일반_기준
HVS31,인공호흡기 조산아_기준,20,1,0,인공호흡기 조산아_기준
HVS32,인큐베이터_기준,20,1,0,인큐베이터_기준
HVS33,CRRT_기준,20,1,0,CRRT_기준
HVS34,ECMO_기준,20,1,0,ECMO_기준
HVS35,중심체온조절유도기_기준,20,1,0,중심체온조절유도기_기준
HVS36,[기타] 화상전용처치실_기준,20,1,0,[기타] 화상전용처치실_기준
HVS37,고압산소치료기_기준,20,1,0,고압산소치료기_기준
HVS38,[입원실] 일반_기준,20,1,0,[입원실] 일반_기준
HVS46,격리진료구역 음압격리_기준,20,1,0,격리진료구역 음압격리_기준
HVS47,격리진료구역 일반격리_기준,20,1,0,격리진료구역 일반격리_기준
HVS48,소아음압격리_기준,20,1,0,소아음압격리_기준
HVS49,소아일반격리_기준,20,1,0,소아일반격리_기준
HVS50,[응급전용] 중환자실 음압격리_기준,20,1,0,[응급전용] 중환자실 음압격리_기준
HVS51,[응급전용] 중환자실 일반격리_기준,20,1,0,[응급전용] 중환자실 일반격리_기준
HVS52,[응급전용] 입원실 음압격리_기준,20,1,0,[응급전용] 입원실 음압격리_기준
HVS53,[응급전용] 입원실 일반격리_기준,20,1,0,[응급전용] 입원실 일반격리_기준
HVS54,감염병 전담병상 중환자실_기준,20,1,0,감염병 전담병상 중환자실_기준
HVS55,감염병 전담병상 중환자실 내 음압격리병상_기준,20,1,0,감염병 전담병상 중환자실 내 음압격리병상_기준
HVS56,[감염] 중증 병상_기준,20,1,0,[감염] 중증 병상_기준
HVS57,[감염] 준-중증 병상_기준,20,1,0,[감염] 준-중증 병상_기준
HVS58,[감염] 중등증 병상_기준,20,1,0,[감염] 중등증 병상_기준
HVS59,코호트 격리_기준,20,1,0,코호트 격리_기준
HVS60,외상소생실_기준,20,1,0,외상소생실_기준
HVS61,외상환자진료구역_기준,20,1,0,외상환자진료구역_기준
